iter	Passed	Remaining
179	3065	13965
180	3080	13938
181	3094	13908
182	3108	13875
183	3121	13844
184	3134	13806
185	3146	13770
186	3160	13742
187	3179	13734
188	3198	13726
189	3217	13717
190	3237	13713
191	3252	13687
192	3271	13677
193	3288	13664
194	3303	13635
195	3317	13610
196	3331	13580
197	3346	13555
198	3363	13540
199	3379	13517
200	3393	13488
201	3408	13465
202	3429	13463
203	3445	13445
204	3462	13425
205	3479	13410
206	3496	13395
207	3514	13380
208	3528	13352
209	3541	13322
210	3555	13293
211	3568	13262
212	3587	13254
213	3603	13235
214	3617	13206
215	3634	13191
216	3658	13200
217	3671	13168
218	3684	13139
219	3696	13106
220	3710	13079
221	3725	13056
222	3738	13025
223	3752	13000
224	3765	12968
225	3777	12936
226	3790	12907
227	3804	12880
228	3820	12862
229	3835	12839
230	3857	12841
231	3872	12818
232	3887	12797
233	3905	12784
234	3922	12769
235	3939	12752
236	3957	12740
237	3976	12729
238	3994	12717
239	4010	12699
240	4029	12689
241	4046	12673
242	4062	12654
243	4081	12647
244	4097	12626
245	4111	12602
246	4124	12572
247	4139	12551
248	4153	12526
249	4167	12501
250	4179	12472
251	4192	12443
252	4205	12417
253	4224	12407
254	4241	12391
255	4254	12363
256	4267	12337
257	4281	12314
258	4294	12286
259	4307	12259
260	4319	12229
261	4331	12201
262	4347	12183
263	4362	12161
264	4376	12139
265	4392	12120
266	4406	12096
267	4422	12078
268	4435	12053
269	4451	12034
270	4465	12013
271	4482	11997
272	4500	11984
273	4515	11965
274	4533	11952
275	4551	11938
276	4570	11928
277	4586	11912
278	4602	11894
279	4618	11876
280	4634	11859
281	4651	11843
282	4666	11823
283	4680	11800
284	4694	11777
285	4707	11751
286	4721	11728
287	4733	11702
288	4745	11675
289	4758	11650
290	4771	11625
291	4783	11597
292	4797	11575
293	4809	11550
294	4825	11531
295	4844	11522
296	4858	11500
297	4871	11474
298	4885	11453
299	4898	11430
300	4912	11407
301	4926	11386
302	4942	11369
303	4956	11347
304	4971	11328
305	4999	11339
306	5012	11314
307	5026	11292
308	5038	11266
309	5057	11256
310	5071	11235
311	5086	11215
312	5101	11196
313	5114	11173
314	5129	11154
315	5143	11133
316	5159	11116
317	5176	11102
318	5191	11083
319	5208	11068
320	5222	11046
321	5239	11032
322	5269	11044
323	5282	11022
324	5296	10999
325	5307	10974
326	5321	10952
327	5334	10928
328	5347	10906
329	5361	10884
330	5373	10860
331	5387	10840
332	5400	10816
333	5413	10794
334	5427	10774
335	5444	10759
336	5461	10743
337	5474	10722
338	5489	10703
339	5503	10683
340	5517	10663
341	5532	10643
342	5546	10624
343	5561	10605
344	5577	10588
345	5591	10569
346	5607	10552
347	5623	10535
348	5641	10523
349	5658	10508
350	5675	10494
351	5692	10478
352	5707	10460
353	5723	10444
354	5740	10430
355	5756	10413
356	5771	10394
357	5786	10377
358	5805	10365
359	5830	10365
360	5853	10360
361	5905	10407
362	5922	10393
363	5938	10376
364	5954	10359
365	5972	10346
366	5989	10330
367	6008	10319
368	6025	10304
369	6048	10298
370	6065	10284
371	6082	10269
372	6100	10254
373	6120	10245
374	6138	10230
375	6156	10216
376	6172	10200
377	6190	10186
378	6211	10177
379	6227	10159
380	6246	10147
381	6263	10133
382	6279	10115
383	6298	10103
384	6315	10089
385	6335	10077
386	6354	10065
387	6370	10048
388	6387	10033
389	6402	10013
390	6418	9997
391	6440	9989
392	6458	9975
393	6474	9958
394	6487	9936
395	6502	9917
396	6517	9899
397	6533	9881
398	6548	9863
399	6563	9845
400	6577	9825
401	6591	9804
402	6605	9784
403	6617	9762
404	6631	9743
405	6647	9725
406	6663	9708
407	6675	9685
408	6688	9664
409	6700	9641
410	6713	9620
411	6727	9601
412	6739	9578
413	6753	9558
414	6767	9539
415	6781	9519
416	6792	9496
417	6807	9478
418	6822	9460
419	6841	9447
420	6863	9439
421	6882	9426
422	6904	9418
423	6926	9409
424	6956	9411
425	6982	9408
426	7007	9403
427	7025	9388
428	7046	9378
429	7068	9370
430	7083	9351
431	7102	9338
432	7118	9321
433	7134	9304
434	7147	9283
435	7161	9263
436	7175	9244
437	7190	9225
438	7205	9207
439	7220	9189
440	7237	9174
441	7253	9156
442	7267	9137
443	7282	9119
444	7297	9100
445	7312	9083
446	7324	9061
447	7337	9040
448	7349	9019
449	7363	8999
450	7378	8981
451	7391	8961
452	7406	8942
453	7421	8924
454	7437	8908
455	7453	8892
456	7467	8873
457	7481	8853
458	7495	8834
459	7508	8814
460	7521	8793
461	7534	8773
462	7548	8754
463	7563	8737
464	7576	8717
465	7590	8698
466	7605	8679
467	7617	8659
468	7630	8639
469	7645	8621
470	7662	8606
471	7675	8585
472	7687	8565
473	7703	8548
474	7716	8528
475	7728	8507
476	7739	8486
477	7752	8465
478	7763	8444
479	7776	8424
480	7789	8405
481	7802	8385
482	7814	8365
483	7830	8347
484	7846	8332
485	7861	8314
486	7875	8295
487	7889	8277
488	7903	8259
489	7917	8240
490	7934	8225
491	7949	8207
492	7962	8188
493	7977	8171
494	7991	8152
495	8008	8137
496	8027	8123
497	8045	8110
498	8065	8098
499	8081	8081
500	8095	8062
501	8109	8044
502	8123	8026
503	8145	8015
504	8162	8000
505	8182	7988
506	8199	7973
507	8214	7955
508	8229	7938
509	8246	7923
510	8267	7911
511	8284	7895
512	8298	7877
513	8310	7857
514	8325	7840
515	8339	7822
516	8352	7803
517	8366	7785
518	8380	7766
519	8392	7747
520	8408	7730
521	8422	7712
522	8437	7695
523	8454	7679
524	8467	7661
525	8482	7643
526	8495	7624
527	8508	7605
528	8520	7586
529	8532	7566
530	8545	7547
531	8557	7527
532	8569	7508
533	8582	7489
534	8596	7471
535	8611	7454
536	8626	7437
537	8643	7422
538	8662	7408
539	8678	7392
540	8693	7376
541	8707	7358
542	8724	7342
543	8740	7326
544	8756	7310
545	8774	7295
546	8794	7283
547	8812	7268
548	8824	7249
549	8840	7232
550	8852	7213
551	8867	7196
552	8881	7178
553	8898	7164
554	8913	7146
555	8928	7129
556	8947	7115
557	8968	7103
558	8983	7087
559	8999	7070
560	9018	7057
561	9036	7042
562	9049	7024
563	9063	7006
564	9076	6988
565	9088	6969
566	9101	6950
567	9115	6933
568	9129	6914
569	9141	6896
570	9154	6877
571	9167	6859
572	9182	6843
573	9197	6825
574	9210	6807
575	9224	6790
576	9239	6773
577	9255	6757
578	9271	6741
579	9285	6724
580	9302	6708
581	9318	6692
582	9334	6676
583	9347	6658
584	9362	6641
585	9376	6624
586	9387	6604
587	9399	6586
588	9411	6567
589	9424	6549
590	9437	6531
591	9452	6514
592	9464	6496
593	9477	6477
594	9490	6459
595	9503	6442
596	9517	6424
597	9530	6406
598	9542	6388
599	9555	6370
600	9567	6352
601	9580	6333
602	9592	6315
603	9604	6297
604	9619	6280
605	9633	6263
606	9647	6245
607	9659	6227
608	9672	6209
609	9685	6192
610	9700	6175
611	9713	6158
612	9728	6141
613	9743	6125
614	9761	6110
615	9775	6093
616	9790	6077
617	9804	6060
618	9819	6044
619	9839	6030
620	9858	6016
621	9874	6001
622	9891	5985
623	9908	5970
624	9925	5955
625	9946	5942
626	9963	5926
627	9978	5910
628	9994	5894
629	10008	5877
630	10021	5860
631	10037	5844
632	10052	5828
633	10065	5810
634	10076	5791
635	10087	5773
636	10100	5755
637	10113	5738
638	10125	5720
639	10136	5702
640	10149	5684
641	10161	5666
642	10174	5648
643	10186	5630
644	10197	5612
645	10208	5594
646	10223	5577
647	10238	5561
648	10258	5547
649	10272	5531
650	10291	5517
651	10307	5501
652	10322	5485
653	10338	5469
654	10354	5454
655	10371	5438
656	10387	5423
657	10402	5406
658	10418	5391
659	10435	5375
660	10453	5361
661	10469	5345
662	10485	5329
663	10499	5313
664	10514	5296
665	10526	5279
666	10539	5261
667	10553	5245
668	10567	5228
669	10582	5212
670	10596	5195
671	10609	5178
672	10622	5161
673	10637	5144
674	10649	5127
675	10661	5110
676	10673	5092
677	10686	5075
678	10698	5057
679	10713	5041
680	10727	5025
681	10743	5009
682	10764	4996
683	10781	4981
684	10800	4966
685	10822	4953
686	10839	4938
687	10860	4924
688	10880	4911
689	10904	4899
690	10928	4887
691	10949	4873
692	10966	4858
693	10991	4846
694	11019	4836
695	11045	4824
696	11075	4814
697	11096	4801
698	11119	4788
699	11140	4774
700	11160	4760
701	11184	4747
702	11209	4735
703	11236	4724
704	11257	4710
705	11276	4695
706	11294	4680
707	11314	4666
708	11331	4650
709	11349	4635
710	11365	4619
711	11379	4602
712	11393	4586
713	11406	4568
714	11419	4551
715	11431	4534
716	11443	4516
717	11459	4500
718	11471	4483
719	11483	4465
720	11499	4449
721	11513	4433
722	11531	4418
723	11546	4401
724	11562	4385
725	11578	4369
726	11595	4354
727	11611	4338
728	11628	4322
729	11643	4306
730	11658	4290
731	11675	4274
732	11691	4258
733	11707	4242
734	11722	4226
735	11733	4208
736	11749	4192
737	11765	4176
738	11779	4160
739	11793	4143
740	11809	4127
741	11827	4112
742	11844	4097
743	11864	4082
744	11880	4066
745	11897	4050
746	11916	4035
747	11933	4020
748	11955	4006
749	11974	3991
750	12001	3979
751	12021	3964
752	12041	3949
753	12058	3934
754	12076	3918
755	12095	3903
756	12112	3888
757	12132	3873
758	12152	3858
759	12170	3843
760	12188	3827
761	12206	3812
762	12225	3797
763	12243	3782
764	12266	3768
765	12285	3752
766	12301	3736
767	12319	3721
768	12335	3705
769	12351	3689
770	12369	3673
771	12385	3657
772	12401	3641
773	12417	3625
774	12433	3609
775	12448	3593
776	12462	3576
777	12477	3560
778	12496	3545
779	12521	3531
780	12536	3515
781	12549	3498
782	12562	3481
783	12576	3464
784	12588	3447
785	12600	3430
786	12613	3413
787	12626	3396
788	12639	3380
789	12651	3363
790	12663	3345
791	12678	3329
792	12693	3313
793	12712	3298
794	12727	3281
795	12741	3265
796	12756	3249
797	12773	3233
798	12790	3217
799	12806	3201
800	12821	3185
801	12838	3169
802	12852	3153
803	12869	3137
804	12883	3120
805	12899	3104
806	12913	3088
807	12927	3071
808	12940	3055
809	12955	3038
810	12971	3022
811	12984	3006
812	12995	2989
813	13009	2972
814	13023	2956
815	13040	2940
816	13054	2924
817	13069	2907
818	13090	2893
819	13108	2877
820	13123	2861
821	13138	2845
822	13152	2828
823	13167	2812
824	13180	2795
825	13193	2779
826	13207	2762
827	13220	2746
828	13232	2729
829	13244	2712
830	13261	2696
831	13275	2680
832	13291	2664
833	13305	2648
834	13319	2631
835	13331	2615
836	13347	2599
837	13361	2582
838	13375	2566
839	13391	2550
840	13411	2535
841	13426	2519
842	13440	2503
843	13452	2486
844	13465	2469
845	13480	2453
846	13493	2437
847	13505	2420
848	13517	2404
849	13531	2387
850	13543	2371
851	13556	2354
852	13568	2338
853	13581	2321
854	13593	2305
855	13606	2288
856	13618	2272
857	13631	2256
858	13644	2239
859	13657	2223
860	13670	2206
861	13685	2190
862	13699	2174
863	13713	2158
864	13730	2142
865	13747	2127
866	13771	2112
867	13788	2096
868	13808	2081
869	13825	2065
870	13838	2049
871	13854	2033
872	13869	2017
873	13889	2002
874	13906	1986
875	13922	1970
876	13938	1954
877	13954	1939
878	13970	1923
879	13986	1907
880	14001	1891
881	14016	1875
882	14033	1859
883	14048	1843
884	14062	1827
885	14074	1810
886	14093	1795
887	14105	1779
888	14118	1762
889	14130	1746
890	14144	1730
891	14155	1713
892	14168	1697
893	14180	1681
894	14192	1665
895	14204	1648
896	14217	1632
897	14232	1616
898	14245	1600
899	14257	1584
900	14268	1567
901	14284	1551
902	14295	1535
903	14309	1519
904	14322	1503
905	14334	1487
906	14346	1471
907	14361	1455
908	14373	1438
909	14388	1423
910	14400	1406
911	14414	1390
912	14428	1374
913	14445	1359
914	14460	1343
915	14474	1327
916	14490	1311
917	14504	1295
918	14520	1279
919	14536	1264
920	14553	1248
921	14570	1232
922	14587	1216
923	14603	1201
924	14619	1185
925	14634	1169
926	14646	1153
927	14658	1137
928	14676	1121
929	14692	1105
930	14709	1090
931	14727	1074
932	14743	1058
933	14755	1042
934	14770	1026
935	14785	1010
936	14804	995
937	14828	980
938	14844	964
939	14859	948
940	14873	932
941	14889	916
942	14904	900
943	14916	884
944	14932	869
945	14949	853
946	14963	837
947	14978	821
948	14995	805
949	15011	790
950	15029	774
951	15048	758
952	15066	743
953	15084	727
954	15102	711
955	15119	695
956	15133	679
957	15149	664
958	15168	648
959	15183	632
960	15201	616
961	15214	600
962	15226	585
963	15238	569
964	15251	553
965	15264	537
966	15280	521
967	15293	505
968	15314	489
969	15327	474
970	15340	458
971	15353	442
972	15365	426
973	15379	410
974	15391	394
975	15403	378
976	15417	362
977	15430	347
978	15442	331
979	15459	315
980	15477	299
981	15497	284
982	15513	268
983	15529	252
984	15544	236
985	15557	220
986	15570	205
987	15582	189
988	15597	173
989	15611	157
990	15627	141
991	15643	126
992	15662	110
993	15679	94
994	15704	78
995	15722	63
996	15740	47
997	15758	31
998	15777	15
999	15793	0
