iter	Logloss
0	0.6409755436
1	0.5956334098
2	0.5583453546
3	0.5274606057
4	0.5029377429
5	0.4824581883
6	0.4661431121
7	0.4511568219
8	0.439632496
9	0.4302613778
10	0.4219038913
11	0.4144141887
12	0.4078975844
13	0.4025880172
14	0.3977245451
15	0.3939780319
16	0.3898203225
17	0.3868950251
18	0.3837179715
19	0.3817310599
20	0.3793491483
21	0.377317898
22	0.3754974975
23	0.3733877324
24	0.3718631734
25	0.3703149669
26	0.3691809364
27	0.3677967014
28	0.3666724478
29	0.3657388764
30	0.364951166
31	0.3641067007
32	0.3633722821
33	0.3624963551
34	0.3618582786
35	0.3613155463
36	0.3607193412
37	0.3600918505
38	0.3595557331
39	0.3590278441
40	0.3584587749
41	0.3581490824
42	0.3577982449
43	0.357333917
44	0.3568965036
45	0.3563517647
46	0.3557974332
47	0.3554929136
48	0.3549977379
49	0.3545668422
50	0.3542488357
51	0.3539314413
52	0.353505564
53	0.3532059675
54	0.3529178713
55	0.3526665385
56	0.3523786798
57	0.3520907819
58	0.3518262272
59	0.351636635
60	0.3513897443
61	0.3512096161
62	0.3508957278
63	0.3506625465
64	0.350517727
65	0.3502147163
66	0.3499296632
67	0.3497612251
68	0.3494264516
69	0.3492249748
70	0.3490089001
71	0.3486859481
72	0.3484241325
73	0.3481555745
74	0.347870365
75	0.3476862577
76	0.3474514023
77	0.3471703138
78	0.3468950889
79	0.3467287405
80	0.3465149122
81	0.3463093512
82	0.3461058419
83	0.3458174576
84	0.3456245148
85	0.3454382075
86	0.3451769842
87	0.3448745693
88	0.3447137227
89	0.3444166414
90	0.3442971135
91	0.3441510243
92	0.3439640799
93	0.3437105135
94	0.3434734582
95	0.3433517593
96	0.3431012435
97	0.3428765115
98	0.3426594895
99	0.342578714
100	0.3424604501
101	0.3422843422
102	0.3420670897
103	0.3419070428
104	0.3416912622
105	0.3415286802
106	0.341372643
107	0.3412630103
108	0.341100814
109	0.34096353
110	0.3406564254
111	0.3404411818
112	0.3402533348
113	0.3401102583
114	0.3399891822
115	0.3399057894
116	0.3397383856
117	0.3395580699
118	0.3394464559
119	0.339224128
120	0.3391416589
121	0.338902363
122	0.338768178
123	0.338607336
124	0.3384964459
125	0.3382921808
126	0.33812769
127	0.3379899958
128	0.3378194698
129	0.3377303338
130	0.3375679515
131	0.3374074617
132	0.3371763511
133	0.3370551312
134	0.3368165734
135	0.3367409242
